NOX,DATE,RAIN,TEMP,SOLR,BP,WSPD
48.4,1,0.34,0.5,8,999,2.3
56.1,2,0.3,0.3,11,1009,2.1
32.3,3,0.08,-0.6,9,1017,1.9
183.5,4,0.24,-3.4,8,1012,1.3
151.5,5,5.13,-2.7,12,998,1.3
45,6,1.94,-0.5,4,997,2.3
47,7,0.92,-4.6,7,1004,2.7
47.8,8,0.41,-3.7,7,1015,2.4
17.7,9,1.49,-2.1,8,1016,3.3
15.7,10,2.54,-1.2,8,1011,2.6
76.9,11,0.85,0.7,7,1013,0.9
62,12,2.27,0.7,11,1003,2.2
84.3,13,5.82,0.2,11,994,1.6
107.1,14,2.08,1,9,999,1.3
55.9,15,3.33,3.2,17,1012,2
26.9,16,8.91,4.6,6,1002,2.4
58.5,17,0.2,5.4,11,1011,2.1
141.60001,18,0.02,5.4,16,1019,1.1
108.4,19,1.76,5.5,9,1017,1.7
31.3,20,2.45,3.2,6,1007,2.5
111,21,2.73,4.2,12,1014,1.1
34.5,22,8.7,4.4,6,1013,2.1
46,23,0.06,4,10,1015,1.6
49.9,24,2.2,2.8,18,1019,1.4
28.1,25,0.35,2.7,10,1025,2
37.9,26,0,2.1,18,1034,2.1
113.9,27,0.68,3.1,16,1023,2.1
46,28,7.21,4,21,1007,2.2
35.8,29,0.37,4,15,987,2.9
53.2,30,0.07,0.5,10,994,2.1
73.4,31,0.06,0.3,21,999,1.7
65.3,32,0.73,1.9,15,1007,2.2
35.8,33,1.95,3.9,14,1001,3.5
65.3,34,1.65,2.5,19,1003,1.5
41.6,35,4.76,3.9,14,1001,2.2
48,36,1,6.7,21,996,2.1
39.7,37,0.04,3.4,17,1009,2.4
22.1,38,0.97,2.6,16,1017,2
19,39,1.24,1.6,10,1006,3.1
23.7,40,0.2,2.5,23,1006,2.8
22.1,41,0.12,1.6,19,1010,3.6
29.7,42,0.83,0.4,16,1015,3.2
32.5,43,0.4,2,18,1017,2.2
23.5,44,0.53,2.3,23,1016,2.3
34.2,45,0.57,2.2,15,1010,1.3
80.8,46,3.19,2.2,24,1000,1.2
34.3,47,8.78,3,13,988,2
71.2,48,0.63,1.2,16,986,1.3
106.5,49,6.12,0.7,16,984,1.5
64,50,0.44,1.8,23,987,2.3
109.2,51,2.17,1.3,19,992,1.2
39,52,16.02,1.7,20,987,1.5
26.5,53,4.36,1.1,16,981,2.7
32.8,54,4.39,2.2,18,987,2.7
43.6,55,4.8,4.4,23,986,1.7
28.1,56,10.75,6.2,26,982,2.5
21.6,57,2.14,5.3,30,984,4.8
22.1,58,17.65,4.9,28,989,2.4
20.6,59,5.09,4.2,17,984,3.2
107.7,60,0.14,3.8,16,1005,1.6
180.89999,61,0.03,3.5,14,1017,1.3
22,62,0,3.1,39,1016,2.9
31.2,63,0.09,3.4,33,1019,2.7
98.5,64,0.03,2.2,23,1023,1.8
15,65,0.01,3.5,34,1022,2.7
19.4,66,0,0,16,1027,2.5
22.8,67,0,0.7,42,1024,2.7
12.4,68,0,3.9,39,1024,3
9.8,69,0.01,4.6,40,1023,2.8
25.8,70,0.27,2.7,35,1019,2.3
60.9,71,2.22,4.4,37,1017,2.1
12.1,72,0,4.6,43,1025,2.3
8.8,73,0.36,6.7,42,1023,2.7
38.4,74,0.09,6.7,30,1022,2.4
51.3,75,0.01,6.5,34,1021,1.8
36.1,76,0.01,8.6,57,1018,2.2
31.6,77,1.17,11.3,55,1012,2.6
18.1,78,6.59,9.4,30,1007,2.8
8.3,79,3.18,9.9,25,1000,3.4
14.4,80,0.05,7.3,57,1012,2.2
19.7,81,1.08,8.5,47,1014,2.9
59.7,82,1.24,6,46,1012,1.7
48.3,83,4.37,9.7,41,1002,1.7
23.2,84,6.72,11.2,30,996,2.3
10,85,0.55,9,56,997,3.7
17.8,86,1.61,8.9,64,1001,2.3
13.9,87,4.51,8,54,1003,2.5
28.9,88,9.77,8.3,33,995,2
13.9,89,7.09,9.6,40,983,3.3
16.4,90,0.76,4.1,37,985,4.5
20.8,91,1.75,4.5,63,1002,3.3
8.3,92,6.52,5.9,48,999,3.1
9.5,93,4.44,6.9,60,996,2.3
14.8,94,0.13,6.5,47,1006,2.4
11.9,95,0,7.5,61,1017,2.9
25.7,96,0.03,10.7,75,1012,2.7
70.5,97,0.37,8.4,41,1014,1.7
59.8,98,0.01,8.1,61,1026,1.5
126.2,99,0.03,9.6,89,1030,1.2
32.2,100,0,10.8,80,1030,1.6
6.4,101,0,9.5,80,1025,3.1
12.7,102,0.03,8.7,80,1022,3.1
13.4,103,0,7.8,86,1020,3.2
18.9,104,0.03,8.9,42,1017,2.3
13.7,105,0,7,86,1019,2.7
16.9,106,0.07,7.9,82,1023,2.2
47.4,107,0.03,7.8,83,1018,1.1
53.3,108,0.01,8.1,106,1012,1.4
27.5,109,0.05,8.8,88,1013,2
20.9,110,0.01,7,111,1014,2.6
23.2,111,0,5.3,113,1017,2
42.5,112,0.03,6.2,114,1015,1.5
60.5,113,0,8.3,118,1013,1.5
55,114,1.12,11.1,117,1015,1.7
43.2,115,0.86,13.3,72,1016,2.1
49,116,0.04,12.4,73,1022,2
65.1,117,0,11.4,144,1024,1.4
41.9,118,0.01,14,116,1017,1.9
69.9,119,2.86,12.1,92,1007,1.4
19.1,120,1.8,9.8,85,1005,3.1
18.5,121,10.41,11.1,91,1005,1.7
10,122,8.35,7.6,40,1007,2.7
9.7,123,0.24,6.7,114,1017,3.3
25,124,0.02,6.6,126,1022,2.4
49.4,125,0.01,9.4,101,1016,1.4
15.9,126,0,10.4,185,1009,2.1
17.8,127,0.7,9.1,101,1008,2.4
15.3,128,1.03,8.4,43,1008,2.4
10.7,129,0.11,8.3,71,1008,2
11.8,130,0,6.8,136,1009,2.2
26.5,131,0.17,6.2,95,1008,1.9
31.8,132,0.48,5.6,137,1010,1.6
34.7,133,0.04,6.3,160,1011,1.4
25.1,134,0,8.3,147,1009,1.9
37.4,135,0.04,10.1,134,1012,1.6
33,136,5.04,9.4,117,1013,1.9
NA,137,0.66,10.3,187,1020,1.7
NA,138,0.03,10.5,143,1025,1.4
51.6,139,0,13,167,1027,1.4
64.9,140,0,16.1,124,1029,1.2
33.7,141,0.08,17.2,212,1029,1.5
21.7,142,0.03,17.2,247,1027,1.5
27.4,143,0,18.1,282,1022,1.2
36.1,144,0,17.1,254,1013,1.9
9.3,145,0,13.5,219,1010,3
11.9,146,4.98,10.9,157,1007,2.6
37.5,147,0.36,9.7,102,1006,1.4
25,148,0.04,10.7,212,1011,2.4
18.3,149,3.54,10.7,69,1007,2.6
8.9,150,0,13.2,199,1008,3.7
13.9,151,0.2,11.8,62,1016,2.3
45,152,4.86,11.8,33,1013,1.1
22.8,153,0.04,14,260,1019,1.6
24.3,154,0,14.7,293,1020,2
31,155,0.03,16.4,270,1018,2
42.7,156,4.33,17.6,176,1016,1.4
25.8,157,1.16,16,110,1009,1.9
26.3,158,7.17,14.4,122,1008,2
20.7,159,2.05,14.3,124,1000,2.5
27.2,160,0.47,14.7,147,1002,1.7
15.6,161,12.1,14.2,62,1004,2.6
24.3,162,0.06,13.5,87,1006,2.1
15.1,163,0,13.5,162,1013,2.2
15.1,164,2.76,14.3,112,1012,2.1
25.5,165,0.2,13.7,118,1014,2
11.2,166,0,11.5,184,1024,2.5
9.9,167,0,13.3,250,1022,2.6
12.6,168,0,14.6,228,1019,2.1
14.9,169,1.48,13.9,86,1017,1.8
11.7,170,0.42,11.2,139,1014,3
10.5,171,0,12.5,139,1018,2.3
30.6,172,0,16,182,1021,1.6
50,173,0,17,169,1021,1.4
33.1,174,0,16.7,243,1020,1.8
32.3,175,0,17.3,161,1018,1.7
30.2,176,0.01,16.6,165,1016,1.8
24.8,177,0,19.6,235,1016,2.4
24.9,178,0,18.7,250,1017,1.4
27.4,179,1.25,18.2,267,1019,1.8
26,180,0.15,18.5,155,1017,2.5
20.9,181,0.03,18.2,196,1017,2.3
21,182,0.04,18.3,167,1012,2.4
23.9,183,0.52,18.7,198,1010,2.6
19.3,184,0.02,17,218,1017,2
14.8,185,0.01,15.8,248,1018,3.1
18.9,186,0,16,193,1019,2.4
23.5,187,0,15.1,156,1023,2
17.8,188,0.11,17.6,99,1017,2.8
25.5,189,0.03,17.9,164,1016,2.1
37.8,190,0.03,19.1,247,1015,2.1
24,191,0.09,19.9,252,1016,2.1
12.4,192,3.33,18.2,210,1013,2.7
31.5,193,5.28,16.4,98,1009,1.8
17.6,194,0.78,14.9,56,1006,1.8
17.3,195,5.02,17.1,90,1001,2.4
9.7,196,2.66,16.6,134,1002,4.5
9.1,197,0.86,15.7,164,1007,4.2
14.1,198,0,15.1,175,1017,3
16.7,199,0,15.5,211,1023,2.3
22.2,200,0,19.7,206,1019,2
35.9,201,0.2,19.3,125,1010,1.7
11.7,202,0.97,17.7,206,1005,2.9
20.4,203,2.28,16,147,1010,2
22.9,204,0.09,15.8,110,1018,1.9
25.1,205,0.1,15.6,184,1020,2.1
13.3,206,0.11,18.7,106,1015,2.2
20.5,207,0.37,18.3,83,1014,2.1
37.9,208,1.96,18.6,98,1015,1.8
18.4,209,0.04,15.9,162,1015,2.5
22.6,210,0,15.5,107,1013,2.1
28.1,211,1.69,15.7,142,1012,2.1
17.3,212,0.2,17.7,93,1009,2.4
18.6,213,0.19,16.1,114,1011,1.8
23.9,214,0.05,16,114,1015,1.7
38.2,215,0.19,15.4,160,1013,2
23.3,216,5.29,15.1,79,1005,2.4
17.4,217,0,14.7,138,1010,2.3
27.8,218,2.75,14.7,115,1012,2.5
20.9,219,0.97,17.2,102,1012,2.1
13.5,220,0.04,16.9,149,1017,1.8
20.3,221,6.13,15.8,135,1013,2.4
25.5,222,3.53,15.2,64,1008,2.3
39,223,0,14.7,137,1011,1.7
26.5,224,1.6,15.5,72,1013,2
23.6,225,6.94,14.3,69,1014,2
15.4,226,5.04,15.1,68,1014,1.8
9.4,227,0.06,17.1,103,1017,2.8
18.4,228,0.63,16.2,59,1013,3.1
25.6,229,0.93,16.9,50,1008,2.4
19.7,230,0.44,14.4,105,1005,2.6
19.7,231,0.26,15.3,100,1010,2.4
18.4,232,0.44,18.3,80,1013,2.9
11.6,233,1.23,18.9,61,1016,3.5
14.6,234,27.4,17.5,72,1011,2.3
18.2,235,0.75,15.5,67,997,3.5
17,236,0.26,13.7,89,1006,4.1
28,237,28.91,13,66,1010,2
23.2,238,9.41,14.3,43,1001,2.1
37,239,0.24,13.5,48,1007,2
26.8,240,0.45,13.7,92,1016,2.3
12.9,241,1.51,14.1,67,1013,3.5
12.3,242,0.07,11.9,85,1020,2.8
29.6,243,0.04,12.2,73,1023,1.3
57.5,244,0.06,13.2,79,1019,1.3
34.4,245,0.04,14.7,84,1018,1.6
28.1,246,0.06,14.8,68,1019,1.6
31.9,247,0.08,14.5,83,1018,1.7
22.2,248,0.16,15.5,74,1017,2.6
32.6,249,10.26,16.1,50,1005,3
56.9,250,3.22,15.5,64,998,1.6
40.8,251,1.39,14.8,46,1000,1.3
61.4,252,2.1,15.3,53,1011,1.6
25.1,253,0.28,16.5,61,1015,2.9
14.9,254,0.76,17.7,49,1012,3.1
23.2,255,0.01,14.3,62,1020,1.8
38.9,256,0.21,13.4,53,1021,2.7
20.1,257,2.82,16.2,23,1012,4
24.1,258,0.25,12.1,62,1008,3.8
27.5,259,0.53,13.4,46,1008,2.4
46.6,260,0.05,10.6,51,1013,2.1
47.6,261,0.01,10.7,45,1016,1.5
14.2,262,0.12,13.1,59,1012,3
38.8,263,0.09,15.7,50,1011,2.5
102.5,264,0.14,14.9,42,1016,1
45.2,265,2.53,15.6,47,1013,2
37.3,266,4.67,15.9,36,1004,1.6
26.5,267,0.99,11.2,36,1002,2.8
16.2,268,0.04,8.1,35,1011,3.2
11.7,269,4.64,9.1,38,1008,3.7
29.8,270,0.88,11.7,41,1009,1.2
42,271,1.01,13.7,32,1014,0.9
34.6,272,10.77,14.3,32,1013,1.7
72.1,273,2.2,11.3,38,1010,1.5
19.7,274,13.83,13,16,1000,2.6
29.9,275,16.41,11.7,29,1000,1.4
10.5,276,6.1,12.8,32,994,2.5
59.5,277,0.47,12.6,30,996,1.1
22.6,278,10.26,13.9,28,998,1.8
24.5,279,0.3,13.9,30,1004,2.2
49.4,280,0.11,11.9,29,1014,1.8
50.1,281,0.04,15.5,31,1013,2.4
26.3,282,0.08,14.5,25,1012,2.4
22.5,283,0.04,15.4,19,1010,2.2
15.6,284,0.06,12.4,15,1015,2.3
16.2,285,0,10.1,32,1017,2
16.3,286,0,8.7,29,1017,1.8
31.5,287,0.12,8,23,1017,1.7
33.8,288,1.27,10.2,31,1014,2
21.8,289,0.36,9.2,25,1016,2.2
78.3,290,0.06,6.8,25,1021,1.5
78.1,291,1.39,8.5,35,1015,2
33.6,292,3.71,9,24,1006,2.5
75.8,293,0.08,4.9,14,1014,2.2
108.2,294,0.05,6.5,18,1017,2.2
67.3,295,7.53,8.8,34,1013,1.8
26.9,296,0.91,8.9,26,1000,2.7
28.7,297,0.17,5.5,15,1011,2
142,298,0.21,4.5,12,1023,1.2
61.3,299,6,7.4,16,1019,2.4
28.3,300,0.41,11.4,22,1013,2.7
23.3,301,0.01,11.9,23,1011,2.6
19.4,302,3.14,12.6,22,997,2.8
27.9,303,1.07,10.3,20,994,2
30.9,304,1.42,9.7,21,997,1.5
57,305,0.51,10.2,23,1009,1.5
21.3,306,0.04,11,26,1006,3.8
24.4,307,0.02,12.8,24,1008,3.6
16.6,308,0.1,13.6,21,1014,4.8
25.5,309,8.63,13.6,17,1015,3.5
68.9,310,1.33,8.2,17,1011,1.4
99.1,311,5.74,5.2,16,1001,1.4
33,312,11.78,4.5,7,969,3.2
23.5,313,2.22,5.9,14,972,3.1
74,314,3.05,5.5,12,993,2.7
22.7,315,4.22,6.7,10,986,4.7
41.7,316,5.19,9.9,17,988,4.2
67.1,317,2.42,7.5,16,989,1.8
76.9,318,5.63,4.9,9,991,1.4
346.20001,319,0.19,3,19,1008,0.5
372.20001,320,0.25,3.5,10,1015,0.9
30.1,321,3.89,3.1,12,1004,2.9
42.2,322,1.86,7.1,14,1001,1.9
177.3,323,0.78,6.1,15,1007,0.7
37.1,324,0.08,5.2,10,1009,1.9
20.4,325,0.18,4.8,12,1006,2.2
39.4,326,0.96,5.4,15,1004,2.1
43.5,327,0.07,5.1,15,1006,1.9
83.7,328,0.1,1.6,14,1004,1.8
38.5,329,0.04,0.3,13,1002,2.6
154.5,330,0.03,-0.5,10,1000,1.5
151.60001,331,0.11,-1.6,11,997,1.3
42.5,332,0.21,-4,14,999,1.5
41.8,333,2.78,-2.5,15,1005,2.4
33.5,334,2.95,-1,7,1006,2.7
18.6,335,1.87,-2,4,1000,3.3
28.6,336,0.19,-1.4,3,1001,2.6
98.7,337,3.47,-2.6,3,1004,1.7
109.7,338,3.1,-1.5,12,999,1.2
62.2,339,0.01,0.4,10,998,1.5
68.3,340,0.02,-3.8,9,996,1.2
105.2,341,0.08,-3.5,10,999,1.5
52.3,342,0.02,-2.7,13,1006,2.9
90,343,0.01,0.4,12,1023,1.9
99.4,344,0.01,3.8,11,1025,2.1
32.9,345,0.04,6,12,1020,2.1
42.6,346,0.22,0.8,12,1019,1.7
126.2,347,0.52,1.4,10,1021,1.5
84,348,0.12,1.8,14,1027,1.6
72.4,349,0.61,3.3,9,1028,1.8
43.1,350,3.97,4.2,6,1004,3.2
144.10001,351,0.18,-2.1,7,991,1.6
115.9,352,1.27,-3,4,985,1.5
42.7,353,0.53,-6.8,4,988,2.2
148,354,2.69,-7,4,994,1.3
NA,355,2.29,-5.9,6,996,1.8
NA,356,0.24,-2.1,7,999,1.8
28.3,357,0.23,-2.3,8,1003,3.3
34.9,358,0.04,-2.8,11,1012,2.8
66.6,359,0.03,-5.9,9,1021,1.6
197.60001,360,0.05,-3.6,11,1021,0.9
38.8,361,4.55,-1.7,13,1011,1.9
96.5,362,2.12,3.1,8,1009,1.3
160,363,0.76,4.2,9,1015,1
172.8,364,0.07,5.1,8,1020,1.1
185.7,365,0,4.7,6,1021,0.8
